Make,Model,Year,Purchase Price,Repair Cost,Sales Price,Profit,Stock Days,Date Sold,Sales Person
Audi,A6,2019,50697.8,2261.16,56125.27,3166.31,18,07/02/2021,Mary Black
Kia,Sorento,2020,51105.98,4160.45,52822.97,-2443.46,59,27/02/2021,Santa Barry
Audi,A3,2020,29061.48,2446.81,34113.62,2605.33,59,18/02/2021,Mary Black
Honda,Civic,2017,13025.2,1100.25,15390.31,1264.86,77,05/02/2021,Jimmy The Fly
Kia,Spotage,2020,37623.78,3578.26,42550.57,1348.53,14,23/02/2021,Jimmy The Fly
Kia,Rio,2020,16700.67,254.25,16474.56,-480.36,66,24/02/2021,Mary Black
Honda,Accord,2018,22616.51,1986.98,23871.8,-731.69,74,10/02/2021,Santa Barry
Kia,Ceed,2017,15100.27,1080.33,16622.07,441.47,19,18/02/2021,Joe Fats
Audi,A6,2019,55253.05,584.28,55147.3,-690.03,19,11/02/2021,Joe Fats
Skoda,Octavia,2019,26022.49,2456.85,27822.77,-656.57,57,15/02/2021,Tony Long
Audi,A5,2020,56283.59,2490.23,60820.82,2047,67,02/02/2021,Santa Barry
BMW,7 Series,2017,41369.99,2784.74,46459.47,2304.74,38,02/02/2021,Pat Byrne
Kia,Sorento,2020,49809.03,1381.83,55391.88,4201.02,79,16/02/2021,Tony Long
Honda,Accord,2019,23967.67,544.59,26768.13,2255.87,63,09/02/2021,Santa Barry
Audi,A1,2018,19241.95,889.84,21329.75,1197.96,20,03/02/2021,Mary Black
Audi,A1,2018,22188.82,392.65,24082.89,1501.42,23,14/02/2021,Mary Black
Skoda,Citigo,2019,11560.25,573.29,11735.65,-397.89,7,25/02/2021,Tony Long
Kia,Rio,2020,15701.03,1248.81,17702.27,752.43,16,08/02/2021,Jimmy The Fly
Honda,Fit,2019,10716.18,594.72,11168.99,-141.91,68,22/02/2021,Joe Fats
Kia,Sorento,2021,55145.16,3788.69,60053.43,1119.58,19,16/02/2021,Mary Black
BMW,X5,2019,51340.41,1926.02,53781.31,514.88,56,05/02/2021,Joe Fats
Honda,Civic,2017,14123.58,843.42,15749.47,782.47,35,18/02/2021,Tony Long
Audi,A6,2018,50175.21,2557.21,56556.93,3824.51,68,06/02/2021,Pat Byrne
Honda,Accord,2020,28425.22,1329.53,30467.64,712.89,60,27/02/2021,Santa Barry
Honda,Fit,2020,13720.33,921.29,14710.65,69.03,57,13/02/2021,Joe Fats
Kia,Soul,2019,27397.54,2085.53,30337.75,854.68,36,10/02/2021,Joe Fats
Skoda,Octavia,2017,22274.12,536.35,22838.77,28.3,23,05/02/2021,Mary Black
Audi,A1,2018,20586.54,482.91,20464.3,-605.15,38,03/02/2021,Pat Byrne
Kia,Sorento,2021,54572.09,1440.32,58103.67,2091.26,52,27/02/2021,Pat Byrne
Skoda,Scala,2019,14618.6,1238.66,17415.78,1558.52,75,08/02/2021,Santa Barry
Honda,Jazz,2017,18227.64,1492.84,21010.47,1289.99,88,01/02/2021,Pat Byrne
Honda,Accord,2017,20207.6,1872.18,21699.84,-379.94,11,26/02/2021,Pat Byrne
Audi,A3,2020,27814.79,417.11,30118.92,1887.02,67,02/02/2021,Pat Byrne
Kia,Soul,2017,20324.4,1668.14,21270.93,-721.61,44,23/02/2021,Joe Fats
Skoda,Octavia,2018,23236.32,632.6,22986.94,-881.98,84,22/02/2021,Tony Long
Honda,Fit,2021,15314.76,910.46,17557.82,1332.6,27,03/02/2021,Mary Black
Honda,Fit,2019,11125.74,924.85,13032.12,981.53,35,14/02/2021,Mary Black
Kia,Sorento,2021,60806.27,3562.8,64907.99,538.92,42,03/02/2021,Santa Barry
Honda,Accord,2019,22964.56,928.15,24321.31,428.6,64,15/02/2021,Tony Long
Skoda,Scala,2018,12533.6,725.25,13968.76,709.91,66,27/02/2021,Santa Barry
Audi,A6,2019,55633.65,2704.37,63824.36,5486.34,66,04/02/2021,Tony Long
BMW,3 Series,2020,46423.66,1912.76,50733.05,2396.63,37,27/02/2021,Tony Long
Audi,A3,2018,22172.97,2033.41,24367.59,161.21,3,05/02/2021,Pat Byrne
Kia,Sorento,2018,43418.99,624.97,43482.94,-561.02,35,19/02/2021,Mary Black
Kia,Soul,2018,26671.29,384.7,26397.43,-658.56,59,15/02/2021,Joe Fats
Honda,Jazz,2018,19623.8,203.1,19494.1,-332.8,87,21/02/2021,Jimmy The Fly
Honda,Jazz,2021,27944.65,1242.12,27728.96,-1457.81,8,14/02/2021,Tony Long
Kia,Sorento,2020,48324.37,3850.17,52648.77,474.23,87,20/02/2021,Santa Barry
Skoda,Octavia,2021,31529.61,1852.97,31764.7,-1617.88,63,23/02/2021,Santa Barry
BMW,7 Series,2019,52069.43,3736.8,55168.69,-637.54,77,11/02/2021,Mary Black
Audi,A1,2018,18864.71,235.06,20832.59,1732.82,80,04/02/2021,Joe Fats
Skoda,Citigo,2020,12233.74,380.91,13534.9,920.25,71,28/02/2021,Santa Barry
Skoda,Scala,2021,20043.11,1411.71,22706.85,1252.03,5,08/02/2021,Tony Long
Honda,Civic,2019,19472,928.33,21777.88,1377.55,27,11/02/2021,Mary Black
BMW,7 Series,2017,41189.88,1212.1,40335.19,-2066.79,39,09/02/2021,Santa Barry
Honda,Fit,2017,7549.18,568.35,8768.14,650.61,71,16/02/2021,Pat Byrne
BMW,7 Series,2019,54574.71,2761.2,59244.22,1908.31,49,15/02/2021,Jimmy The Fly
Kia,Rio,2019,13430.43,1032.25,14704.86,242.18,46,28/02/2021,Tony Long
BMW,3 Series,2018,34304.08,2052,37545.85,1189.77,16,14/02/2021,Joe Fats
Honda,Jazz,2019,24001.41,719.42,26065.48,1344.65,61,19/02/2021,Jimmy The Fly
Skoda,Scala,2020,18562.2,211.51,20409.85,1636.14,56,24/02/2021,Joe Fats
Skoda,Citigo,2019,11806.31,544.46,13216.26,865.49,66,01/02/2021,Joe Fats
Kia,Ceed,2021,24622.61,935.97,27900.96,2342.38,46,11/02/2021,Pat Byrne
BMW,7 Series,2018,48807.51,614.86,48646.59,-775.78,24,14/02/2021,Pat Byrne
Skoda,Scala,2019,14430.11,1350.06,16705.28,925.11,2,12/02/2021,Mary Black
Skoda,Octavia,2020,30153.54,1393.76,31526.97,-20.33,39,19/02/2021,Santa Barry
Kia,Rio,2021,17795.73,1409.71,20998.4,1792.96,11,27/02/2021,Santa Barry
Audi,A5,2020,52436.89,1118.08,56962.93,3407.96,70,26/02/2021,Jimmy The Fly
Honda,Accord,2021,30908.97,646.98,34703.64,3147.69,47,04/02/2021,Pat Byrne
Honda,Civic,2017,14988.17,1272.22,15739.54,-520.85,78,14/02/2021,Pat Byrne
Honda,Accord,2018,22262.83,1757.27,25541.07,1520.97,36,10/02/2021,Mary Black
Audi,A3,2017,20383.56,1208.59,21654.84,62.69,55,17/02/2021,Tony Long
Skoda,Scala,2017,11765.55,877.23,13565.28,922.5,62,05/02/2021,Tony Long
Skoda,Octavia,2021,31697.27,725.83,34303.94,1880.84,67,13/02/2021,Pat Byrne
Audi,A3,2021,31934.2,2212.32,33729.41,-417.11,53,11/02/2021,Joe Fats
BMW,1 Series,2017,17957.98,286.31,19088.49,844.2,38,02/02/2021,Tony Long
BMW,5 Series,2019,48487.21,3813.38,53740.79,1440.2,3,17/02/2021,Joe Fats
BMW,5 Series,2020,52945.08,1840.01,57807.49,3022.4,86,15/02/2021,Santa Barry
Skoda,Citigo,2019,11241.1,363.72,12153.27,548.45,75,12/02/2021,Jimmy The Fly
Honda,Fit,2021,15641.14,363.27,16477.89,473.48,21,12/02/2021,Santa Barry
Honda,Civic,2021,23316.92,841.72,24936.99,778.35,48,17/02/2021,Mary Black
Honda,Accord,2020,30083.39,2868.92,35062.6,2110.29,31,14/02/2021,Pat Byrne
BMW,3 Series,2021,49763.92,2336.97,50177.43,-1923.46,23,13/02/2021,Joe Fats
Honda,Jazz,2017,17121.31,1480.35,18370.33,-231.33,38,05/02/2021,Joe Fats
Audi,A5,2019,47090.63,3202.56,51904.16,1610.97,55,26/02/2021,Jimmy The Fly
BMW,5 Series,2021,61535.04,5479.73,66266.93,-747.84,21,27/02/2021,Pat Byrne
Audi,A6,2018,50347.68,2207.44,50071.42,-2483.7,68,05/02/2021,Jimmy The Fly
BMW,X5,2018,40245.9,3779.05,45580.14,1555.19,81,26/02/2021,Jimmy The Fly
Audi,A4,2020,50902.77,2620.76,53375.28,-148.25,88,13/02/2021,Pat Byrne
BMW,5 Series,2017,31660.2,1260.49,32838.43,-82.26,84,06/02/2021,Jimmy The Fly
Skoda,Scala,2021,20534.31,1170.49,23461.16,1756.36,54,25/02/2021,Jimmy The Fly
BMW,3 Series,2018,37312.01,2400.91,42162.87,2449.95,68,23/02/2021,Mary Black
Audi,A4,2021,52104.3,1016.26,54769.48,1648.92,10,07/02/2021,Tony Long
Audi,A1,2017,17107.58,1679.75,19343.25,555.92,68,09/02/2021,Pat Byrne
Honda,Accord,2017,19879.14,543.38,19413.04,-1009.48,22,28/02/2021,Joe Fats
Kia,Soul,2017,18907.53,1102.31,19147.87,-861.97,9,17/02/2021,Tony Long
Skoda,Octavia,2020,31422.53,2176.63,34297.47,698.31,20,27/02/2021,Mary Black
Honda,Fit,2017,9542.05,943.13,10294.71,-190.47,35,12/02/2021,Pat Byrne
Audi,A5,2020,51022.9,1970.96,57215.75,4221.89,73,02/02/2021,Tony Long
Skoda,Citigo,2020,12226.86,326.07,13524.8,971.87,40,07/02/2021,Mary Black
Kia,Spotage,2018,29172.78,1956.12,33022.77,1893.87,66,16/02/2021,Mary Black
BMW,7 Series,2018,46043.33,3415.29,47256.92,-2201.7,32,19/02/2021,Jimmy The Fly
Skoda,Octavia,2021,32168.48,1090,35241.87,1983.39,9,28/02/2021,Joe Fats
Kia,Rio,2018,13559.88,778.86,14549.36,210.62,2,17/02/2021,Mary Black
Audi,A6,2019,58942.06,5001.14,63059.7,-883.5,11,01/02/2021,Jimmy The Fly
BMW,7 Series,2019,50584.88,2769.63,55120.6,1766.09,18,20/02/2021,Pat Byrne
Kia,Ceed,2019,19776.95,1401.93,21523.27,344.39,87,19/02/2021,Jimmy The Fly
Kia,Spotage,2021,39334.19,1235.26,38611.54,-1957.91,50,11/02/2021,Mary Black
Skoda,Scala,2020,18955.87,1845.8,20087.95,-713.72,72,02/02/2021,Mary Black
Kia,Spotage,2017,22617.14,1741.24,25083.86,725.48,6,19/02/2021,Mary Black
Audi,A4,2021,49772.09,3627.13,52413.43,-985.79,4,25/02/2021,Mary Black
Audi,A3,2020,25992.7,1606.57,30154.02,2554.75,6,19/02/2021,Mary Black
Honda,Accord,2021,31818.81,1557.94,32159.05,-1217.7,77,21/02/2021,Tony Long
BMW,7 Series,2021,69675.4,5426.09,75153.8,52.31,72,03/02/2021,Santa Barry
Audi,A1,2018,22267.72,1179.1,22397.97,-1048.85,14,10/02/2021,Jimmy The Fly
Honda,Civic,2017,15091.8,1326.41,17269.56,851.35,41,03/02/2021,Jimmy The Fly
Honda,Civic,2020,20486.19,245.12,20860.35,129.04,31,10/02/2021,Pat Byrne
BMW,7 Series,2017,41446.79,715.75,44490.99,2328.45,22,06/02/2021,Mary Black
Honda,Civic,2021,24535.55,2441.76,26553.78,-423.53,89,01/02/2021,Jimmy The Fly
Audi,A5,2020,51805.93,3775.07,54437.3,-1143.7,81,18/02/2021,Mary Black
Kia,Rio,2020,15885.55,168.26,15937.41,-116.4,55,05/02/2021,Joe Fats
Audi,A6,2018,50543.07,2742.74,57956.85,4671.04,21,08/02/2021,Santa Barry
BMW,1 Series,2019,28695.49,2700.86,30311.74,-1084.61,39,05/02/2021,Pat Byrne
Skoda,Octavia,2020,32285.58,2894.46,33471.19,-1708.85,21,02/02/2021,Tony Long
Audi,A1,2021,30174.65,470.39,29485.98,-1159.06,37,10/02/2021,Mary Black
BMW,1 Series,2017,19163.69,1738.81,22268.02,1365.52,41,19/02/2021,Joe Fats
Kia,Rio,2019,15490.36,190.21,16193.06,512.49,18,08/02/2021,Joe Fats
Honda,Fit,2017,8445.39,741.84,9043.28,-143.95,12,02/02/2021,Joe Fats
Audi,A3,2021,29735.98,1972.08,32022.15,314.09,33,02/02/2021,Tony Long
Honda,Accord,2019,22715.25,1079.21,25689.01,1894.55,60,12/02/2021,Tony Long
Skoda,Octavia,2017,19248.57,745.12,20220.34,226.65,1,20/02/2021,Jimmy The Fly
Honda,Fit,2020,12730.2,1084.57,14199.07,384.3,4,14/02/2021,Pat Byrne
Kia,Sorento,2021,56624.75,4877.62,63517.44,2015.07,6,20/02/2021,Pat Byrne
BMW,3 Series,2019,38469.29,1171.22,42432.22,2791.71,30,07/02/2021,Jimmy The Fly
Skoda,Scala,2020,17569.23,1154.45,19981.54,1257.86,84,03/02/2021,Jimmy The Fly
Kia,Rio,2019,14002.22,969.43,15861.45,889.8,63,07/02/2021,Jimmy The Fly
Skoda,Scala,2020,17565.93,1257.56,19979.49,1156,82,24/02/2021,Jimmy The Fly
Audi,A6,2020,66035.75,5785.29,73216.45,1395.41,11,04/02/2021,Santa Barry
Kia,Sorento,2021,52206.94,2644.75,55398.11,546.42,63,24/02/2021,Mary Black
Kia,Ceed,2017,13706.04,355.24,14405.58,344.3,39,16/02/2021,Jimmy The Fly
Honda,Jazz,2017,18275.86,529.09,18063.9,-741.05,54,01/02/2021,Santa Barry
Audi,A3,2021,33523.9,3038.39,34844.6,-1717.69,3,10/02/2021,Mary Black
Skoda,Scala,2019,14990.68,733.88,15886.76,162.2,1,25/02/2021,Joe Fats
Honda,Fit,2021,14581.82,893.52,16082.14,606.8,45,09/02/2021,Jimmy The Fly
BMW,X5,2021,58703.15,5353.73,67817.31,3760.43,65,03/02/2021,Joe Fats
BMW,X5,2018,42219.57,923.91,43670.18,526.7,78,05/02/2021,Pat Byrne
Kia,Sorento,2018,41570.51,1071.45,44397.5,1755.54,28,27/02/2021,Santa Barry
BMW,5 Series,2018,38631.78,2896.73,41670.52,142.01,2,24/02/2021,Tony Long
BMW,X5,2020,52764.49,630.2,57129.82,3735.13,33,16/02/2021,Santa Barry
Audi,A3,2017,17791.46,689.07,20309.77,1829.24,86,22/02/2021,Joe Fats
Honda,Civic,2021,23564.77,1563.63,26102.3,973.9,55,01/02/2021,Joe Fats
Kia,Soul,2019,26419.14,2380.01,28534.46,-264.69,87,12/02/2021,Joe Fats
Skoda,Octavia,2021,34374.68,1218.17,34816.48,-776.37,41,16/02/2021,Jimmy The Fly
Honda,Fit,2020,12677.23,896.25,13886.11,312.63,33,04/02/2021,Santa Barry
Audi,A6,2021,64810.98,3859.23,74990.11,6319.9,7,02/02/2021,Joe Fats
Skoda,Octavia,2017,21342.83,574.63,23463.06,1545.6,38,28/02/2021,Mary Black
Honda,Fit,2021,15534.8,606.05,16479.35,338.5,86,08/02/2021,Joe Fats
Skoda,Octavia,2017,18563.14,1705.39,21526.19,1257.66,88,06/02/2021,Pat Byrne
Honda,Fit,2018,9537.04,878.22,10605.05,189.79,58,02/02/2021,Tony Long
Honda,Accord,2018,21194.36,218.15,21666.16,253.65,45,05/02/2021,Mary Black
Skoda,Citigo,2017,9747.5,311.66,10666.7,607.54,74,06/02/2021,Pat Byrne
Kia,Ceed,2019,18741,889.02,21453.12,1823.1,74,13/02/2021,Mary Black
BMW,1 Series,2017,20465.43,1685.49,22123.21,-27.71,74,23/02/2021,Santa Barry
Kia,Sorento,2021,55294.06,4838.32,58015.1,-2117.28,11,13/02/2021,Santa Barry
Kia,Rio,2021,18497.8,1518.92,21856.99,1840.27,19,24/02/2021,Pat Byrne
Skoda,Citigo,2021,15232.55,1080.08,15774.92,-537.71,68,03/02/2021,Tony Long
Honda,Jazz,2017,17473.78,511.81,19709.58,1723.99,60,11/02/2021,Joe Fats
Audi,A4,2019,45880.05,854.01,48659.67,1925.61,90,03/02/2021,Joe Fats
BMW,1 Series,2019,26275.27,607.4,26344.72,-537.95,18,03/02/2021,Pat Byrne
Audi,A1,2018,18416.94,846.74,20217.5,953.82,16,19/02/2021,Tony Long
Skoda,Citigo,2018,9810.65,269.84,10478.15,397.66,45,09/02/2021,Mary Black
Audi,A5,2017,31015.01,2765.97,34004.81,223.83,61,07/02/2021,Santa Barry
BMW,X5,2020,52169.08,2795.66,58991.76,4027.02,15,20/02/2021,Pat Byrne
BMW,5 Series,2021,54550.59,2075.9,60990.9,4364.41,22,21/02/2021,Tony Long
Skoda,Octavia,2017,19055.64,1576.68,21783.7,1151.38,89,27/02/2021,Joe Fats
Kia,Rio,2017,9777.56,895.06,10477.85,-194.77,9,27/02/2021,Joe Fats
Honda,Fit,2017,8105.39,656.31,9549.56,787.86,1,15/02/2021,Santa Barry
BMW,X5,2018,48048.56,3670.22,49758.11,-1960.67,41,28/02/2021,Pat Byrne
BMW,1 Series,2019,27160.16,584.28,26643.55,-1100.89,11,28/02/2021,Pat Byrne
Audi,A4,2021,54787.73,2596.63,60511.28,3126.92,47,11/02/2021,Joe Fats
Skoda,Citigo,2017,8281.05,699.11,9245.56,265.4,7,22/02/2021,Joe Fats
Honda,Jazz,2017,17256.61,1427.63,20252.89,1568.65,55,07/02/2021,Joe Fats
Audi,A1,2019,23018.47,2230.98,24333.72,-915.73,80,10/02/2021,Joe Fats
Honda,Civic,2018,17970.84,722.26,19207.08,513.98,55,06/02/2021,Tony Long
Honda,Civic,2021,25309.08,2143.75,29502.11,2049.28,4,18/02/2021,Joe Fats
Skoda,Octavia,2020,31393.91,1497.79,31769.99,-1121.71,40,02/02/2021,Mary Black
Audi,A3,2021,32487.53,1139.16,35448.48,1821.79,22,27/02/2021,Jimmy The Fly
Audi,A3,2017,18981.66,727.89,19215.57,-493.98,64,06/02/2021,Pat Byrne
Honda,Civic,2018,17408.51,506.93,17200.34,-715.1,13,07/02/2021,Mary Black
Audi,A1,2017,16044.81,1575.86,18488.55,867.88,17,26/02/2021,Tony Long
Honda,Accord,2017,19346.33,690.25,21093.45,1056.87,69,15/02/2021,Santa Barry
Kia,Ceed,2021,23088.36,1664.8,23627.97,-1125.19,56,24/02/2021,Joe Fats
BMW,X5,2020,59574.94,1628.41,58774.54,-2428.81,8,20/02/2021,Jimmy The Fly
Honda,Fit,2021,14332.49,1288.36,16302.35,681.5,2,26/02/2021,Mary Black
Skoda,Citigo,2020,12057.19,839.44,13575.28,678.65,32,06/02/2021,Santa Barry
Kia,Ceed,2017,14261.22,783.1,14556.75,-487.57,76,24/02/2021,Santa Barry
Kia,Ceed,2017,14565.81,969.79,16790.04,1254.44,6,08/02/2021,Pat Byrne
Audi,A3,2018,20513.04,1040.05,22840.51,1287.42,44,12/02/2021,Tony Long
Honda,Accord,2021,29894.55,769.3,29367.86,-1295.99,64,11/02/2021,Joe Fats
Skoda,Scala,2021,20657.08,420.23,22465.96,1388.65,32,19/02/2021,Joe Fats
Kia,Rio,2019,14431.68,240.61,15905.6,1233.31,17,10/02/2021,Mary Black
Audi,A1,2018,22148.84,730.1,23501.6,622.66,73,05/02/2021,Mary Black
BMW,7 Series,2018,50706.51,1047.29,51587.48,-166.32,11,26/02/2021,Mary Black
Skoda,Citigo,2021,14377.69,371.85,16029.93,1280.39,46,24/02/2021,Tony Long
Kia,Ceed,2018,17648.97,1012.35,19572.07,910.75,24,12/02/2021,Tony Long
Skoda,Scala,2019,16901.07,790.5,17423.26,-268.31,19,13/02/2021,Mary Black
Skoda,Scala,2018,14609.55,1413.61,17088.89,1065.73,63,07/02/2021,Pat Byrne
Honda,Civic,2020,22254.74,1246.56,24992.4,1491.1,67,20/02/2021,Pat Byrne
Honda,Accord,2019,25040.97,1354.37,28812.13,2416.79,49,09/02/2021,Joe Fats
Honda,Accord,2021,31094.2,2924.21,34137.36,118.95,76,05/02/2021,Joe Fats
Skoda,Citigo,2020,14159.72,1185.7,14779.74,-565.68,31,03/02/2021,Mary Black
Kia,Sorento,2017,34701,2142.26,39120.46,2277.2,5,06/02/2021,Santa Barry
BMW,1 Series,2020,29808.78,1706.71,32920.07,1404.58,56,21/02/2021,Jimmy The Fly
Skoda,Scala,2020,17735.53,1231.97,19138.42,170.92,44,16/02/2021,Joe Fats
Kia,Sorento,2019,48046.9,3219.13,49359.09,-1906.94,76,15/02/2021,Pat Byrne
Honda,Fit,2017,9077.58,130.72,9152.98,-55.32,36,15/02/2021,Mary Black
BMW,X5,2021,66564.13,6134.43,78798.08,6099.52,72,09/02/2021,Pat Byrne
Honda,Jazz,2018,21237.53,1845.33,23460.61,377.75,33,19/02/2021,Mary Black
Kia,Ceed,2017,13331.05,1222.89,14401.53,-152.41,78,02/02/2021,Mary Black
Kia,Ceed,2021,24026.49,488.29,25712.63,1197.85,55,08/02/2021,Mary Black
Audi,A4,2019,46034.81,1366.96,50015.81,2614.04,27,20/02/2021,Tony Long
BMW,X5,2020,52971.78,3115.79,57575.76,1488.19,55,21/02/2021,Jimmy The Fly
BMW,1 Series,2018,24715.24,328.43,26091.36,1047.69,6,03/02/2021,Joe Fats
Honda,Accord,2020,28906.34,1437.13,30559.75,216.28,6,02/02/2021,Pat Byrne
Honda,Fit,2019,11053.12,910.24,11685.76,-277.6,31,17/02/2021,Jimmy The Fly
Audi,A4,2021,54347.94,3930.07,57974.53,-303.48,18,13/02/2021,Santa Barry
Skoda,Octavia,2017,20976.67,226.48,20514.69,-688.46,83,24/02/2021,Jimmy The Fly
Skoda,Octavia,2021,33477.5,1030.88,34931.36,422.98,28,09/02/2021,Jimmy The Fly
Honda,Civic,2018,15871.12,918.73,16273.62,-516.23,54,23/02/2021,Joe Fats
Kia,Rio,2018,12867.65,751.11,13519.05,-99.71,14,28/02/2021,Mary Black
Kia,Spotage,2019,32143.82,1794.67,33423.29,-515.2,88,14/02/2021,Mary Black
Audi,A3,2018,21046.62,1579.64,24239.31,1613.05,42,16/02/2021,Mary Black
Kia,Soul,2019,29552.49,1578.09,31873.58,743,70,15/02/2021,Tony Long
Kia,Soul,2019,25904.12,1235.88,26102.81,-1037.19,68,20/02/2021,Pat Byrne
Audi,A1,2017,16854.31,1252.28,18481.49,374.9,49,21/02/2021,Joe Fats
Audi,A5,2021,57438.95,5610.23,66757.77,3708.59,4,23/02/2021,Joe Fats
Kia,Spotage,2018,29762.49,2012.75,31001.92,-773.32,45,09/02/2021,Santa Barry
Honda,Accord,2021,29724.48,2775.6,35229.91,2729.83,70,24/02/2021,Santa Barry
Audi,A3,2020,27733.82,2683.15,29913.06,-503.91,18,15/02/2021,Mary Black
Skoda,Scala,2017,10554.69,603.7,11121.69,-36.7,18,17/02/2021,Jimmy The Fly
Honda,Accord,2017,17862.92,1114.78,19373.16,395.46,85,21/02/2021,Pat Byrne
Kia,Ceed,2021,25871.88,1894.36,29049.92,1283.68,35,25/02/2021,Santa Barry
Kia,Ceed,2018,15394.51,1527.29,16937.88,16.08,74,19/02/2021,Tony Long
Skoda,Citigo,2019,12455.3,183.62,12653.55,14.63,43,01/02/2021,Tony Long
Audi,A5,2018,36295.34,1596,40769.68,2878.34,40,19/02/2021,Santa Barry
Honda,Jazz,2018,19399.6,973.08,20361.98,-10.7,81,14/02/2021,Tony Long
BMW,3 Series,2017,31497.66,2485.87,37297.87,3314.34,74,04/02/2021,Mary Black
Kia,Sorento,2019,43526.6,2685.96,47884.44,1671.88,85,26/02/2021,Santa Barry
Kia,Rio,2019,14126.56,1028.47,16456.58,1301.55,49,11/02/2021,Tony Long
Audi,A5,2021,55580.42,2400.2,62165.6,4184.98,28,22/02/2021,Pat Byrne
Skoda,Octavia,2021,34409.75,1404.18,35083.29,-730.64,19,14/02/2021,Jimmy The Fly
BMW,1 Series,2020,30969.68,2285.66,32457.42,-797.92,60,12/02/2021,Jimmy The Fly
BMW,1 Series,2021,32497.2,973.2,31907.86,-1562.54,80,09/02/2021,Mary Black
BMW,7 Series,2020,62060.22,3057.42,66838.07,1720.43,60,15/02/2021,Pat Byrne
Skoda,Octavia,2020,31065.02,685.66,32918.91,1168.23,26,09/02/2021,Pat Byrne
Audi,A6,2019,49691.9,4000.55,56786.69,3094.24,4,24/02/2021,Santa Barry
Audi,A5,2020,52791.77,4921.69,62383.94,4670.48,81,25/02/2021,Mary Black
Skoda,Octavia,2019,25028.15,1687.18,25530.97,-1184.36,11,18/02/2021,Joe Fats
Skoda,Scala,2021,18145.83,1444.57,20594.31,1003.91,35,24/02/2021,Santa Barry
Skoda,Scala,2019,16454.38,691.54,17957.89,811.97,81,08/02/2021,Joe Fats
Audi,A4,2017,32749.33,2065.85,33811.07,-1004.11,65,09/02/2021,Joe Fats
Honda,Fit,2020,12040.55,1143.13,14046.44,862.76,80,12/02/2021,Pat Byrne
BMW,X5,2021,64004.35,5953.5,66696.18,-3261.67,36,02/02/2021,Tony Long
Audi,A1,2020,28041.51,1819.79,31081.29,1219.99,4,27/02/2021,Joe Fats
BMW,3 Series,2017,26138.1,1798.86,26879.43,-1057.53,64,16/02/2021,Mary Black
Audi,A6,2019,49619.05,1839.51,55378.48,3919.92,76,24/02/2021,Joe Fats
Honda,Accord,2017,17987.12,1590.37,18917.02,-660.47,40,04/02/2021,Tony Long
Honda,Accord,2021,33401.07,2424.3,36003.79,178.42,37,10/02/2021,Santa Barry
Skoda,Octavia,2019,25567.88,1810.11,29469.81,2091.82,39,15/02/2021,Joe Fats
Kia,Soul,2021,35695.2,701.91,39834.44,3437.33,56,14/02/2021,Mary Black
Audi,A3,2017,17301.57,1291.08,18138.7,-453.95,85,05/02/2021,Santa Barry
Skoda,Citigo,2021,14616.85,348.84,14503.14,-462.55,2,24/02/2021,Tony Long
Honda,Fit,2021,14462.56,504,15275.16,308.6,81,23/02/2021,Mary Black
Skoda,Octavia,2018,26234.96,1494.44,29878.67,2149.27,47,04/02/2021,Santa Barry
Audi,A6,2018,42723.1,1793.69,42939.26,-1577.53,69,18/02/2021,Pat Byrne
Honda,Accord,2017,16585.21,1313.2,18000.96,102.55,90,14/02/2021,Jimmy The Fly
Kia,Sorento,2017,33063.88,2866.45,34298.46,-1631.87,81,01/02/2021,Santa Barry
Audi,A6,2021,70684.19,2847.8,77102.37,3570.38,52,03/02/2021,Joe Fats
Skoda,Octavia,2019,26716.39,992.18,28105.45,396.88,82,24/02/2021,Tony Long
Audi,A1,2020,25597.18,870.15,28906.49,2439.16,83,28/02/2021,Jimmy The Fly
Skoda,Octavia,2021,35823.82,1535.03,37935.49,576.64,65,21/02/2021,Santa Barry
Honda,Civic,2017,15273.58,1402.39,16545.98,-129.99,25,20/02/2021,Joe Fats
Audi,A1,2017,17555.68,1227.37,19909.91,1126.86,24,28/02/2021,Tony Long
Audi,A1,2021,28317.69,1563.75,29836.33,-45.11,84,22/02/2021,Tony Long
BMW,1 Series,2017,19550.27,1756.12,22495.52,1189.13,42,02/02/2021,Pat Byrne
BMW,5 Series,2021,56356.71,2605.66,57828.65,-1133.72,38,15/02/2021,Jimmy The Fly
BMW,7 Series,2017,40550.57,697.51,45191.76,3943.68,61,18/02/2021,Jimmy The Fly
Honda,Jazz,2021,29358.16,672.42,30370.41,339.83,75,25/02/2021,Tony Long
Kia,Ceed,2018,17150.8,458.53,19190.17,1580.84,43,18/02/2021,Jimmy The Fly
Audi,A6,2019,52627.39,4141.07,57480.04,711.58,11,14/02/2021,Tony Long
Kia,Rio,2019,15444.97,1328.84,18195.84,1422.03,76,11/02/2021,Joe Fats
BMW,7 Series,2017,37807.6,2282,38862.29,-1227.31,23,14/02/2021,Pat Byrne
Kia,Sorento,2021,54739.43,1864.39,58154.92,1551.1,88,09/02/2021,Joe Fats
Skoda,Octavia,2019,25804.71,1842.64,26652.13,-995.22,22,17/02/2021,Mary Black
Audi,A5,2018,36869.84,2186.01,42692.28,3636.43,88,04/02/2021,Joe Fats
Audi,A6,2018,43227.07,3248.66,48071.6,1595.87,66,22/02/2021,Joe Fats
